 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 1.84160016942769E-0005 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001
 2.25120002141921E-0005 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001
 2.66080005530966E-0005 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001
 3.07040027109906E-0005 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001
 3.68480032193474E-0005 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001
 4.50400038971566E-0005 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001
 5.32320009369869E-0005 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001
 6.14240052527748E-0005 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001
 7.37120062694885E-0005 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001 -1.00000000000000E+0000  5.58232119294132E+0001
 9.00960076251067E-0005  3.73754496311403E+0001  8.00267318116815E-0001  3.73754496311403E+0001  8.00267318116815E-0001  3.73754496311403E+0001  8.00267318116815E-0001
 1.06480001704767E-0004  2.38293110529868E+0001  7.94699401074585E-0001  2.38293110529868E+0001  7.94699401074585E-0001  2.38293110529868E+0001  7.94699401074585E-0001
 1.22864003060386E-0004  1.97142592178535E+0001  1.12314356549953E+0000  1.97142592178535E+0001  1.12314356549953E+0000  1.97142592178535E+0001  1.12314356549953E+0000
 1.47440005093813E-0004  1.42644434252262E+0001  1.98276726810500E+0000  1.42644434252262E+0001  1.98276726810500E+0000  1.42644434252262E+0001  1.98276726810500E+0000
 1.80208007805049E-0004  1.00644785522247E+0001  2.69726006626935E+0000  1.00644785522247E+0001  2.69726006626935E+0000  1.00644785522247E+0001  2.69726006626935E+0000
 2.12976010516286E-0004  8.33280129963593E+0000  5.11915441214421E+0000  8.33280129963593E+0000  5.11915441214421E+0000  8.33280129963593E+0000  5.11915441214421E+0000
 2.45744013227522E-0004  6.78368059331713E+0000  3.30008823572383E+0000  6.78368059331713E+0000  3.30008823572383E+0000  6.78368059331713E+0000  3.30008823572383E+0000
 2.94896017294377E-0004  5.91108482287148E+0000  6.10623608542399E+0000  5.91108482287148E+0000  6.10623608542399E+0000  5.91108482287148E+0000  6.10623608542399E+0000
 3.60432022716850E-0004  5.30006695063051E+0000  4.85943323587415E+0000  5.30006695063051E+0000  4.85943323587415E+0000  5.30006695063051E+0000  4.85943323587415E+0000
 4.25968028139323E-0004  4.37002575507378E+0000  3.87874621134198E+0000  4.37002575507378E+0000  3.87874621134198E+0000  4.37002575507378E+0000  3.87874621134198E+0000
 4.91504033561796E-0004  4.03377444314356E+0000  4.48254287391722E+0000  4.03377444314356E+0000  4.48254287391722E+0000  4.03377444314356E+0000  4.48254287391722E+0000
 5.89808041695505E-0004  3.71545571011280E+0000  1.46491242776572E+0001  3.71545571011280E+0000  1.46491242776572E+0001  3.71545571011280E+0000  1.46491242776572E+0001
 7.20880052540451E-0004  3.31551435113373E+0000  9.21823581347406E+0000  3.31551435113373E+0000  9.21823581347406E+0000  3.31551435113373E+0000  9.21823581347406E+0000
 8.51952063385397E-0004  3.26696530027013E+0000  8.19597492420632E+0000  3.26696530027013E+0000  8.19597492420632E+0000  3.26696530027013E+0000  8.19597492420632E+0000
 9.83024016022682E-0004  3.40039849164235E+0000  6.41348403546328E+0000  3.40039849164235E+0000  6.41348403546328E+0000  3.40039849164235E+0000  6.41348403546328E+0000
 1.17963203229010E-0003  3.37858674263618E+0000  1.47428161891086E+0001  3.37858674263618E+0000  1.47428161891086E+0001  3.37858674263618E+0000  1.47428161891086E+0001
 1.44177605397999E-0003  3.29587568256551E+0000  1.31701400254602E+0001  3.29587568256551E+0000  1.31701400254602E+0001  3.29587568256551E+0000  1.31701400254602E+0001
 1.70392007566988E-0003  3.06498368328807E+0000  1.06914198083636E+0001  3.06498368328807E+0000  1.06914198083636E+0001  3.06498368328807E+0000  1.06914198083636E+0001
 1.96606409735978E-0003  2.97298355245359E+0000  1.37760890624640E+0001  2.97298355245359E+0000  1.37760890624640E+0001  2.97298355245359E+0000  1.37760890624640E+0001
 2.35928012989461E-0003  2.94843433246603E+0000  2.32599753630462E+0001  2.94843433246603E+0000  2.32599753630462E+0001  2.94843433246603E+0000  2.32599753630462E+0001
 2.88356817327440E-0003  2.84813156968212E+0000  3.17171030610947E+0001  2.84813156968212E+0000  3.17171030610947E+0001  2.84813156968212E+0000  3.17171030610947E+0001
 3.40785621665418E-0003  2.88519348362497E+0000  1.89100334718490E+0001  2.88519348362497E+0000  1.89100334718490E+0001  2.88519348362497E+0000  1.89100334718490E+0001
 3.93214402720332E-0003  2.88469728735053E+0000  1.38216137842632E+0001  2.88469728735053E+0000  1.38216137842632E+0001  2.88469728735053E+0000  1.38216137842632E+0001
 4.71857609227300E-0003  2.70989533153163E+0000  2.68199112524782E+0001  2.70989533153163E+0000  2.68199112524782E+0001  2.70989533153163E+0000  2.68199112524782E+0001
 5.76715217903256E-0003  2.66083319732227E+0000  2.37211073661494E+0001  2.66083319732227E+0000  2.37211073661494E+0001  2.66083319732227E+0000  2.37211073661494E+0001
