 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 1.84160016942769E-0005 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001
 2.25120002141921E-0005 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001
 2.66080005530966E-0005 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001
 3.07040027109906E-0005 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001
 3.68480032193474E-0005 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001
 4.50400038971566E-0005 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001
 5.32320009369869E-0005 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001
 6.14240052527748E-0005 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001
 7.37120062694885E-0005 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001 -1.00000000000000E+0000  1.45377117478668E+0001
 9.00960076251067E-0005  3.92883688900499E+0000  4.08122021718272E+0000  3.92883688900499E+0000  4.08122021718272E+0000  3.92883688900499E+0000  4.08122021718272E+0000
 1.06480001704767E-0004  2.55116981287588E+0000  6.01417009620011E+0000  2.55116981287588E+0000  6.01417009620011E+0000  2.55116981287588E+0000  6.01417009620011E+0000
 1.22864003060386E-0004  2.02769703303419E+0000  7.66440097360578E+0000  2.02769703303419E+0000  7.66440097360578E+0000  2.02769703303419E+0000  7.66440097360578E+0000
 1.47440005093813E-0004  1.58729591787138E+0000  1.02392081504684E+0001  1.58729591787138E+0000  1.02392081504684E+0001  1.58729591787138E+0000  1.02392081504684E+0001
 1.80208007805049E-0004  1.20133998054435E+0000  1.39342033373183E+0001  1.20133998054435E+0000  1.39342033373183E+0001  1.20133998054435E+0000  1.39342033373183E+0001
 2.12976010516286E-0004  9.41013006123256E-0001  1.47016715803894E+0001  9.41013006123256E-0001  1.47016715803894E+0001  9.41013006123256E-0001  1.47016715803894E+0001
 2.45744013227522E-0004  7.96648437110420E-0001  1.94492201202157E+0001  7.96648437110420E-0001  1.94492201202157E+0001  7.96648437110420E-0001  1.94492201202157E+0001
 2.94896017294377E-0004  7.03166482057609E-0001  2.66315344354894E+0001  7.03166482057609E-0001  2.66315344354894E+0001  7.03166482057609E-0001  2.66315344354894E+0001
 3.60432022716850E-0004  5.70394927350988E-0001  3.22860624516703E+0001  5.70394927350988E-0001  3.22860624516703E+0001  5.70394927350988E-0001  3.22860624516703E+0001
 4.25968028139323E-0004  5.81817999236692E-0001  3.73236398860726E+0001  5.81817999236692E-0001  3.73236398860726E+0001  5.81817999236692E-0001  3.73236398860726E+0001
 4.91504033561796E-0004  5.21489070925667E-0001  2.84001985384501E+0001  5.21489070925667E-0001  2.84001985384501E+0001  5.21489070925667E-0001  2.84001985384501E+0001
 5.89808041695505E-0004  4.89473177959997E-0001  6.23205760071872E+0001  4.89473177959997E-0001  6.23205760071872E+0001  4.89473177959997E-0001  6.23205760071872E+0001
 7.20880052540451E-0004  4.37038229832511E-0001  5.58082833086047E+0001  4.37038229832511E-0001  5.58082833086047E+0001  4.37038229832511E-0001  5.58082833086047E+0001
 8.51952063385397E-0004  4.31731541309717E-0001  4.52313027490910E+0001  4.31731541309717E-0001  4.52313027490910E+0001  4.31731541309717E-0001  4.52313027490910E+0001
 9.83024016022682E-0004  4.12102511654530E-0001  5.19523879671066E+0001  4.12102511654530E-0001  5.19523879671066E+0001  4.12102511654530E-0001  5.19523879671066E+0001
 1.17963203229010E-0003  3.84023296868564E-0001  6.88333415647517E+0001  3.84023296868564E-0001  6.88333415647517E+0001  3.84023296868564E-0001  6.88333415647517E+0001
 1.44177605397999E-0003  3.70890427319564E-0001  7.66986768358705E+0001  3.70890427319564E-0001  7.66986768358705E+0001  3.70890427319564E-0001  7.66986768358705E+0001
 1.70392007566988E-0003  3.77506457784599E-0001  1.22743974321201E+0002  3.77506457784599E-0001  1.22743974321201E+0002  3.77506457784599E-0001  1.22743974321201E+0002
 1.96606409735978E-0003  3.35641599789336E-0001  6.00485419211490E+0001  3.35641599789336E-0001  6.00485419211490E+0001  3.35641599789336E-0001  6.00485419211490E+0001
 2.35928012989461E-0003  3.14950168406309E-0001  1.41684422074807E+0002  3.14950168406309E-0001  1.41684422074807E+0002  3.14950168406309E-0001  1.41684422074807E+0002
 2.88356817327440E-0003  3.05019403763514E-0001  9.09749373531634E+0001  3.05019403763514E-0001  9.09749373531634E+0001  3.05019403763514E-0001  9.09749373531634E+0001
