 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 1.84160016942769E-0005 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001
 2.25120002141921E-0005 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001
 2.66080005530966E-0005 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001
 3.07040027109906E-0005 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001
 3.68480032193474E-0005 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001
 4.50400038971566E-0005 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001
 5.32320009369869E-0005 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001
 6.14240052527748E-0005 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001
 7.37120062694885E-0005 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001 -1.00000000000000E+0000  2.53131990519154E+0001
 9.00960076251067E-0005  1.15852016305240E+0002  1.37927770962078E-0001  1.15852016305240E+0002  1.37927770962078E-0001  1.15852016305240E+0002  1.37927770962078E-0001
 1.06480001704767E-0004  8.95242686663760E+0001  1.57343907727432E-0001  8.95242686663760E+0001  1.57343907727432E-0001  8.95242686663760E+0001  1.57343907727432E-0001
 1.22864003060386E-0004  7.33775967531723E+0001  3.14149830767087E-0001  7.33775967531723E+0001  3.14149830767087E-0001  7.33775967531723E+0001  3.14149830767087E-0001
 1.47440005093813E-0004  5.13563644636122E+0001  3.62747415215175E-0001  5.13563644636122E+0001  3.62747415215175E-0001  5.13563644636122E+0001  3.62747415215175E-0001
 1.80208007805049E-0004  3.09563535916483E+0001  5.10756137837618E-0001  3.09563535916483E+0001  5.10756137837618E-0001  3.09563535916483E+0001  5.10756137837618E-0001
 2.12976010516286E-0004  2.75383580296713E+0001  5.01502323488908E-0001  2.75383580296713E+0001  5.01502323488908E-0001  2.75383580296713E+0001  5.01502323488908E-0001
 2.45744013227522E-0004  2.32205465651838E+0001  6.06857828369614E-0001  2.32205465651838E+0001  6.06857828369614E-0001  2.32205465651838E+0001  6.06857828369614E-0001
 2.94896017294377E-0004  2.14113197071029E+0001  4.70157080601319E-0001  2.14113197071029E+0001  4.70157080601319E-0001  2.14113197071029E+0001  4.70157080601319E-0001
 3.60432022716850E-0004  1.90382098098103E+0001  7.77908416821905E-0001  1.90382098098103E+0001  7.77908416821905E-0001  1.90382098098103E+0001  7.77908416821905E-0001
 4.25968028139323E-0004  1.63763568868673E+0001  9.63627062256480E-0001  1.63763568868673E+0001  9.63627062256480E-0001  1.63763568868673E+0001  9.63627062256480E-0001
 4.91504033561796E-0004  1.60086770821034E+0001  9.68665081470517E-0001  1.60086770821034E+0001  9.68665081470517E-0001  1.60086770821034E+0001  9.68665081470517E-0001
 5.89808041695505E-0004  1.34773551781021E+0001  1.45508787829275E+0000  1.34773551781021E+0001  1.45508787829275E+0000  1.34773551781021E+0001  1.45508787829275E+0000
 7.20880052540451E-0004  1.47060228521223E+0001  1.15857691907106E+0000  1.47060228521223E+0001  1.15857691907106E+0000  1.47060228521223E+0001  1.15857691907106E+0000
 8.51952063385397E-0004  1.35053001747195E+0001  1.37963271245092E+0000  1.35053001747195E+0001  1.37963271245092E+0000  1.35053001747195E+0001  1.37963271245092E+0000
 9.83024016022682E-0004  1.25568416543024E+0001  9.93460791096057E-0001  1.25568416543024E+0001  9.93460791096057E-0001  1.25568416543024E+0001  9.93460791096057E-0001
 1.17963203229010E-0003  1.19961576861100E+0001  1.39360804050637E+0000  1.19961576861100E+0001  1.39360804050637E+0000  1.19961576861100E+0001  1.39360804050637E+0000
 1.44177605397999E-0003  1.23314896283381E+0001  1.69064939324385E+0000  1.23314896283381E+0001  1.69064939324385E+0000  1.23314896283381E+0001  1.69064939324385E+0000
 1.70392007566988E-0003  1.21781454237139E+0001  1.18034816063417E+0000  1.21781454237139E+0001  1.18034816063417E+0000  1.21781454237139E+0001  1.18034816063417E+0000
 1.96606409735978E-0003  1.24198729805576E+0001  1.54065005268141E+0000  1.24198729805576E+0001  1.54065005268141E+0000  1.24198729805576E+0001  1.54065005268141E+0000
 2.35928012989461E-0003  1.16959658604613E+0001  2.37261566631370E+0000  1.16959658604613E+0001  2.37261566631370E+0000  1.16959658604613E+0001  2.37261566631370E+0000
 2.88356817327440E-0003  1.10310810750352E+0001  3.03703122998107E+0000  1.10310810750352E+0001  3.03703122998107E+0000  1.10310810750352E+0001  3.03703122998107E+0000
 3.40785621665418E-0003  1.03021003563678E+0001  3.01070975800757E+0000  1.03021003563678E+0001  3.01070975800757E+0000  1.03021003563678E+0001  3.01070975800757E+0000
 3.93214402720332E-0003  1.04761591354438E+0001  2.30230576208058E+0000  1.04761591354438E+0001  2.30230576208058E+0000  1.04761591354438E+0001  2.30230576208058E+0000
 4.71857609227300E-0003  1.02411760863703E+0001  4.00117489651435E+0000  1.02411760863703E+0001  4.00117489651435E+0000  1.02411760863703E+0001  4.00117489651435E+0000
 5.76715217903256E-0003  9.84844745610832E+0000  4.08050031649603E+0000  9.84844745610832E+0000  4.08050031649603E+0000  9.84844745610832E+0000  4.08050031649603E+0000
 6.81572826579213E-0003  9.47770054607700E+0000  2.79555526906521E+0000  9.47770054607700E+0000  2.79555526906521E+0000  9.47770054607700E+0000  2.79555526906521E+0000
 7.86430481821299E-0003  9.22205980471955E+0000  4.22946094557617E+0000  9.22205980471955E+0000  4.22946094557617E+0000  9.22205980471955E+0000  4.22946094557617E+0000
 9.43716801702976E-0003  9.40044953628925E+0000  5.85096875847069E+0000  9.40044953628925E+0000  5.85096875847069E+0000  9.40044953628925E+0000  5.85096875847069E+0000
 1.15343201905489E-0002  8.48954955393918E+0000  5.21970182857481E+0000  8.48954955393918E+0000  5.21970182857481E+0000  8.48954955393918E+0000  5.21970182857481E+0000
 1.36314723640680E-0002  8.72247297239183E+0000  5.35887774525239E+0000  8.72247297239183E+0000  5.35887774525239E+0000  8.72247297239183E+0000  5.35887774525239E+0000
 1.57286245375872E-0002  8.34761858549216E+0000  6.40759681576558E+0000  8.34761858549216E+0000  6.40759681576558E+0000  8.34761858549216E+0000  6.40759681576558E+0000
 1.88743527978659E-0002  7.64614954543420E+0000  1.14795316970465E+0001  7.64614954543420E+0000  1.14795316970465E+0001  7.64614954543420E+0000  1.14795316970465E+0001
 2.30686571449041E-0002  7.49950998406653E+0000  1.16366838532724E+0001  7.49950998406653E+0000  1.16366838532724E+0001  7.49950998406653E+0000  1.16366838532724E+0001
 2.72629614919424E-0002  7.20067118226170E+0000  4.40632402688602E+0000  7.20067118226170E+0000  4.40632402688602E+0000  7.20067118226170E+0000  4.40632402688602E+0000
 3.14572639763355E-0002  6.87534829518351E+0000  4.85795134653350E+0000  6.87534829518351E+0000  4.85795134653350E+0000  6.87534829518351E+0000  4.85795134653350E+0000
 3.77487204968929E-0002  6.40404476352375E+0000  1.12135666812694E+0001  6.40404476352375E+0000  1.12135666812694E+0001  6.40404476352375E+0000  1.12135666812694E+0001
 4.61373291909695E-0002  6.15301934176617E+0000  5.60847731209379E+0000  6.15301934176617E+0000  5.60847731209379E+0000  6.15301934176617E+0000  5.60847731209379E+0000
 5.45259378850460E-0002  5.79345164840274E+0000  5.39718529232041E+0000  5.79345164840274E+0000  5.39718529232041E+0000  5.79345164840274E+0000  5.39718529232041E+0000
 6.29145503044128E-0002  5.56354914917300E+0000  5.60059471719896E+0000  5.56354914917300E+0000  5.60059471719896E+0000  5.56354914917300E+0000  5.60059471719896E+0000
 7.54974558949471E-0002  5.17310793942593E+0000  7.52942454296021E+0000  5.17310793942593E+0000  7.52942454296021E+0000  5.17310793942593E+0000  7.52942454296021E+0000
 9.22746732831001E-0002  4.81353369010662E+0000  5.22429544779598E+0000  4.81353369010662E+0000  5.22429544779598E+0000  4.81353369010662E+0000  5.22429544779598E+0000
 1.09051890671253E-0001  4.54246532110694E+0000  4.50793647626615E+0000  4.54246532110694E+0000  4.50793647626615E+0000  4.54246532110694E+0000  4.50793647626615E+0000
 1.25829115509987E-0001  4.29914111167017E+0000  5.22570037977520E+0000  4.29914111167017E+0000  5.22570037977520E+0000  4.29914111167017E+0000  5.22570037977520E+0000
 1.50994941592216E-0001  4.03274333777162E+0000  4.68674154152746E+0000  4.03274333777162E+0000  4.68674154152746E+0000  4.03274333777162E+0000  4.68674154152746E+0000
 1.84549361467361E-0001  3.70369816606848E+0000  3.82784182057323E+0000  3.70369816606848E+0000  3.82784182057323E+0000  3.70369816606848E+0000  3.82784182057323E+0000
 2.18103796243668E-0001  3.46098295717179E+0000  4.49267797445534E+0000  3.46098295717179E+0000  4.49267797445534E+0000  3.46098295717179E+0000  4.49267797445534E+0000
 2.51658231019974E-0001  3.23977524677719E+0000  4.12694829515426E+0000  3.23977524677719E+0000  4.12694829515426E+0000  3.23977524677719E+0000  4.12694829515426E+0000
 3.01989883184433E-0001  2.93753819310437E+0000  3.74294756157717E+0000  2.93753819310437E+0000  3.74294756157717E+0000  2.93753819310437E+0000  3.74294756157717E+0000
