 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 1.84160016942769E-0005 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001
 2.25120002141921E-0005 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001
 2.66080005530966E-0005 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001
 3.07040027109906E-0005 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001
 3.68480032193474E-0005 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001
 4.50400038971566E-0005 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001
 5.32320009369869E-0005 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001
 6.14240052527748E-0005 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001
 7.37120062694885E-0005 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001 -1.00000000000000E+0000  1.55583380300453E+0001
 9.00960076251067E-0005  1.08426712402035E+0002  1.58552492824099E-0001  1.08426712402035E+0002  1.58552492824099E-0001  1.08426712402035E+0002  1.58552492824099E-0001
 1.06480001704767E-0004  8.19028386410296E+0001  1.60463855520738E-0001  8.19028386410296E+0001  1.60463855520738E-0001  8.19028386410296E+0001  1.60463855520738E-0001
 1.22864003060386E-0004  6.92076573011047E+0001  2.19432920931954E-0001  6.92076573011047E+0001  2.19432920931954E-0001  6.92076573011047E+0001  2.19432920931954E-0001
 1.47440005093813E-0004  4.82908417183153E+0001  3.46806468377558E-0001  4.82908417183153E+0001  3.46806468377558E-0001  4.82908417183153E+0001  3.46806468377558E-0001
 1.80208007805049E-0004  2.88469768898561E+0001  3.78223494327247E-0001  2.88469768898561E+0001  3.78223494327247E-0001  2.88469768898561E+0001  3.78223494327247E-0001
 2.12976010516286E-0004  2.36096185751291E+0001  3.81747147753335E-0001  2.36096185751291E+0001  3.81747147753335E-0001  2.36096185751291E+0001  3.81747147753335E-0001
 2.45744013227522E-0004  2.10429076173364E+0001  4.60452508281382E-0001  2.10429076173364E+0001  4.60452508281382E-0001  2.10429076173364E+0001  4.60452508281382E-0001
 2.94896017294377E-0004  1.91588481686062E+0001  5.83953250180301E-0001  1.91588481686062E+0001  5.83953250180301E-0001  1.91588481686062E+0001  5.83953250180301E-0001
 3.60432022716850E-0004  1.20602172771634E+0001  9.15068987141669E-0001  1.20602172771634E+0001  9.15068987141669E-0001  1.20602172771634E+0001  9.15068987141669E-0001
 4.25968028139323E-0004  1.34272772408704E+0001  9.65214302354363E-0001  1.34272772408704E+0001  9.65214302354363E-0001  1.34272772408704E+0001  9.65214302354363E-0001
 4.91504033561796E-0004  1.08136070112221E+0001  7.92869639510516E-0001  1.08136070112221E+0001  7.92869639510516E-0001  1.08136070112221E+0001  7.92869639510516E-0001
 5.89808041695505E-0004  1.01280706897774E+0001  8.75515494039637E-0001  1.01280706897774E+0001  8.75515494039637E-0001  1.01280706897774E+0001  8.75515494039637E-0001
 7.20880052540451E-0004  9.14223666140862E+0000  1.00076387303753E+0000  9.14223666140862E+0000  1.00076387303753E+0000  9.14223666140862E+0000  1.00076387303753E+0000
 8.51952063385397E-0004  8.84238434416706E+0000  1.34935020355430E+0000  8.84238434416706E+0000  1.34935020355430E+0000  8.84238434416706E+0000  1.34935020355430E+0000
 9.83024016022682E-0004  8.99683827744281E+0000  9.02433511162697E-0001  8.99683827744281E+0000  9.02433511162697E-0001  8.99683827744281E+0000  9.02433511162697E-0001
 1.17963203229010E-0003  7.64945330490280E+0000  1.95790782223394E+0000  7.64945330490280E+0000  1.95790782223394E+0000  7.64945330490280E+0000  1.95790782223394E+0000
 1.44177605397999E-0003  8.40167393724025E+0000  1.88050364510704E+0000  8.40167393724025E+0000  1.88050364510704E+0000  8.40167393724025E+0000  1.88050364510704E+0000
 1.70392007566988E-0003  7.52464218721770E+0000  1.50470533576629E+0000  7.52464218721770E+0000  1.50470533576629E+0000  7.52464218721770E+0000  1.50470533576629E+0000
 1.96606409735978E-0003  6.97910947146062E+0000  1.35145749286395E+0000  6.97910947146062E+0000  1.35145749286395E+0000  6.97910947146062E+0000  1.35145749286395E+0000
 2.35928012989461E-0003  6.94884494951231E+0000  1.76929242724303E+0000  6.94884494951231E+0000  1.76929242724303E+0000  6.94884494951231E+0000  1.76929242724303E+0000
 2.88356817327440E-0003  7.00386752768007E+0000  1.54292145293602E+0000  7.00386752768007E+0000  1.54292145293602E+0000  7.00386752768007E+0000  1.54292145293602E+0000
 3.40785621665418E-0003  6.50150887217617E+0000  1.51041735693854E+0000  6.50150887217617E+0000  1.51041735693854E+0000  6.50150887217617E+0000  1.51041735693854E+0000
 3.93214402720332E-0003  6.94844531652562E+0000  1.76255141582930E+0000  6.94844531652562E+0000  1.76255141582930E+0000  6.94844531652562E+0000  1.76255141582930E+0000
 4.71857609227300E-0003  6.34662011026977E+0000  1.65650273864727E+0000  6.34662011026977E+0000  1.65650273864727E+0000  6.34662011026977E+0000  1.65650273864727E+0000
 5.76715217903256E-0003  6.40274201300395E+0000  2.06725785540977E+0000  6.40274201300395E+0000  2.06725785540977E+0000  6.40274201300395E+0000  2.06725785540977E+0000
 6.81572826579213E-0003  5.87307424825992E+0000  1.79365566345846E+0000  5.87307424825992E+0000  1.79365566345846E+0000  5.87307424825992E+0000  1.79365566345846E+0000
 7.86430481821299E-0003  5.79367880560954E+0000  1.84841705636240E+0000  5.79367880560954E+0000  1.84841705636240E+0000  5.79367880560954E+0000  1.84841705636240E+0000
 9.43716801702976E-0003  5.43472004977022E+0000  1.95079098847721E+0000  5.43472004977022E+0000  1.95079098847721E+0000  5.43472004977022E+0000  1.95079098847721E+0000
 1.15343201905489E-0002  5.21760455873868E+0000  2.25700514092857E+0000  5.21760455873868E+0000  2.25700514092857E+0000  5.21760455873868E+0000  2.25700514092857E+0000
 1.36314723640680E-0002  4.95394691756962E+0000  2.12094448539027E+0000  4.95394691756962E+0000  2.12094448539027E+0000  4.95394691756962E+0000  2.12094448539027E+0000
 1.57286245375872E-0002  5.11840411525925E+0000  2.32691708849189E+0000  5.11840411525925E+0000  2.32691708849189E+0000  5.11840411525925E+0000  2.32691708849189E+0000
 1.88743527978659E-0002  4.66324992543032E+0000  2.69515406377673E+0000  4.66324992543032E+0000  2.69515406377673E+0000  4.66324992543032E+0000  2.69515406377673E+0000
 2.30686571449041E-0002  4.61471968296073E+0000  3.10111578586737E+0000  4.61471968296073E+0000  3.10111578586737E+0000  4.61471968296073E+0000  3.10111578586737E+0000
 2.72629614919424E-0002  4.54756383436290E+0000  2.85254235070134E+0000  4.54756383436290E+0000  2.85254235070134E+0000  4.54756383436290E+0000  2.85254235070134E+0000
 3.14572639763355E-0002  4.35898286028314E+0000  2.82493183386447E+0000  4.35898286028314E+0000  2.82493183386447E+0000  4.35898286028314E+0000  2.82493183386447E+0000
 3.77487204968929E-0002  3.87946405368087E+0000  3.56988756085781E+0000  3.87946405368087E+0000  3.56988756085781E+0000  3.87946405368087E+0000  3.56988756085781E+0000
 4.61373291909695E-0002  3.74739117633682E+0000  3.80444861662357E+0000  3.74739117633682E+0000  3.80444861662357E+0000  3.74739117633682E+0000  3.80444861662357E+0000
 5.45259378850460E-0002  3.54940939593454E+0000  4.27241424803112E+0000  3.54940939593454E+0000  4.27241424803112E+0000  3.54940939593454E+0000  4.27241424803112E+0000
 6.29145503044128E-0002  3.28153353968625E+0000  4.39087881210106E+0000  3.28153353968625E+0000  4.39087881210106E+0000  3.28153353968625E+0000  4.39087881210106E+0000
 7.54974558949471E-0002  3.06610552385126E+0000  5.90775062242661E+0000  3.06610552385126E+0000  5.90775062242661E+0000  3.06610552385126E+0000  5.90775062242661E+0000
 9.22746732831001E-0002  2.86740811368511E+0000  7.06304470485776E+0000  2.86740811368511E+0000  7.06304470485776E+0000  2.86740811368511E+0000  7.06304470485776E+0000
 1.09051890671253E-0001  2.68359992387950E+0000  6.56826984660001E+0000  2.68359992387950E+0000  6.56826984660001E+0000  2.68359992387950E+0000  6.56826984660001E+0000
 1.25829115509987E-0001  2.50232855952537E+0000  8.89171692266285E+0000  2.50232855952537E+0000  8.89171692266285E+0000  2.50232855952537E+0000  8.89171692266285E+0000
 1.50994941592216E-0001  2.28595419738753E+0000  1.14587765841293E+0001  2.28595419738753E+0000  1.14587765841293E+0001  2.28595419738753E+0000  1.14587765841293E+0001
 1.84549361467361E-0001  2.08974793724136E+0000  1.11786074748803E+0001  2.08974793724136E+0000  1.11786074748803E+0001  2.08974793724136E+0000  1.11786074748803E+0001
 2.18103796243668E-0001  1.93552234793635E+0000  1.02380774198303E+0001  1.93552234793635E+0000  1.02380774198303E+0001  1.93552234793635E+0000  1.02380774198303E+0001
 2.51658231019974E-0001  1.74281397321285E+0000  1.18239795837621E+0001  1.74281397321285E+0000  1.18239795837621E+0001  1.74281397321285E+0000  1.18239795837621E+0001
 3.01989883184433E-0001  1.55319237080335E+0000  1.19735146232330E+0001  1.55319237080335E+0000  1.19735146232330E+0001  1.55319237080335E+0000  1.19735146232330E+0001
 3.69098752737045E-0001  1.26635574645816E+0000  1.42538364327108E+0001  1.26635574645816E+0000  1.42538364327108E+0001  1.26635574645816E+0000  1.42538364327108E+0001
 4.36207622289658E-0001  1.08027331280139E+0000  1.41841316727755E+0001  1.08027331280139E+0000  1.41841316727755E+0001  1.08027331280139E+0000  1.41841316727755E+0001
 5.03316462039948E-0001  8.87573045273298E-0001  1.26218848509479E+0001  8.87573045273298E-0001  1.26218848509479E+0001  8.87573045273298E-0001  1.26218848509479E+0001
 6.03979766368866E-0001  6.42584091633256E-0001  1.35232441117273E+0001  6.42584091633256E-0001  1.35232441117273E+0001  6.42584091633256E-0001  1.35232441117273E+0001
 7.38197505474091E-0001  3.19667640226602E-0001  1.04340141785402E+0001  3.19667640226602E-0001  1.04340141785402E+0001  3.19667640226602E-0001  1.04340141785402E+0001
 8.72415244579315E-0001  7.70529156801596E-0002  8.96720550172175E+0000  7.70529156801596E-0002  8.96720550172175E+0000  7.70529156801596E-0002  8.96720550172175E+0000
 1.00663304328918E+0000  2.09701708004394E-0002  8.94636918091412E+0000  2.09701708004394E-0002  8.94636918091412E+0000  2.09701708004394E-0002  8.94636918091412E+0000
 1.20795965194702E+0000 -1.07464780382720E-0002  8.99371355775250E+0000 -1.07464780382720E-0002  8.99371355775250E+0000 -1.07464780382720E-0002  8.99371355775250E+0000
